duplicate_name_en,occurrence_count,name_ja,source_architect_id,source_line
"TAKENAKA CORPORATION",99,"竹中工務店",6072,2702
"TAKENAKA CORPORATION",99,"竹中工務店",6154,2744
"TAKENAKA CORPORATION",99,"竹中工務店",6242,2784
"TAKENAKA CORPORATION",99,"竹中工務店",6379,2836
"TAKENAKA CORPORATION",99,"竹中工務店",6411,2856
"TAKENAKA CORPORATION",99,"竹中工務店",6492,2900
"TAKENAKA CORPORATION",99,"竹中工務店",6536,2926
"TAKENAKA CORPORATION",99,"竹中工務店",6537,2927
"TAKENAKA CORPORATION",99,"竹中工務店",6605,2965
"TAKENAKA CORPORATION",99,"竹中工務店",6615,2970
"TAKENAKA CORPORATION",99,"竹中工務店",6644,2984
"TAKENAKA CORPORATION",99,"竹中工務店",6670,2998
"TAKENAKA CORPORATION",99,"竹中工務店",6728,3021
"TAKENAKA CORPORATION",99,"竹中工務店",6733,3025
"TAKENAKA CORPORATION",99,"竹中工務店",6828,3061
"TAKENAKA CORPORATION",99,"竹中工務店",6847,3071
"TAKENAKA CORPORATION",99,"竹中工務店",6952,3127
"TAKENAKA CORPORATION",99,"竹中工務店",6964,3136
"TAKENAKA CORPORATION",99,"竹中工務店",7257,3279
"TAKENAKA CORPORATION",99,"竹中工務店",7289,3296
"TAKENAKA CORPORATION",99,"竹中工務店",7365,3333
"TAKENAKA CORPORATION",99,"竹中工務店",7399,3345
"TAKENAKA CORPORATION",99,"竹中工務店",7508,3404
"TAKENAKA CORPORATION",99,"竹中工務店",7619,3464
"TAKENAKA CORPORATION",99,"竹中工務店",7767,3549
"TAKENAKA CORPORATION",99,"竹中工務店",7817,3570
"TAKENAKA CORPORATION",99,"竹中工務店",7840,3578
"TAKENAKA CORPORATION",99,"竹中工務店",7920,3619
"TAKENAKA CORPORATION",99,"竹中工務店",7934,3631
"TAKENAKA CORPORATION",99,"竹中工務店",7939,3634
"TAKENAKA CORPORATION",99,"竹中工務店",8097,3716
"TAKENAKA CORPORATION",99,"竹中工務店",8101,3719
"TAKENAKA CORPORATION",99,"竹中工務店",8158,3752
"TAKENAKA CORPORATION",99,"竹中工務店",8180,3764
"TAKENAKA CORPORATION",99,"竹中工務店",8211,3776
"TAKENAKA CORPORATION",99,"竹中工務店",8250,3799
"TAKENAKA CORPORATION",99,"竹中工務店",8311,3835
"TAKENAKA CORPORATION",99,"竹中工務店",8352,3859
"TAKENAKA CORPORATION",99,"竹中工務店",8527,3955
"TAKENAKA CORPORATION",99,"竹中工務店",8531,3958
"TAKENAKA CORPORATION",99,"竹中工務店",8566,3976
"TAKENAKA CORPORATION",99,"竹中工務店",8777,4090
"TAKENAKA CORPORATION",99,"竹中工務店",8815,4111
"TAKENAKA CORPORATION",99,"竹中工務店",8816,4112
"TAKENAKA CORPORATION",99,"竹中工務店",8833,4123
"TAKENAKA CORPORATION",99,"竹中工務店",8973,4201
"TAKENAKA CORPORATION",99,"竹中工務店",9113,4283
"TAKENAKA CORPORATION",99,"竹中工務店",9121,4288
"TAKENAKA CORPORATION",99,"竹中工務店",9192,4329
