#architectEn誤	正

OSAKA OFFICE, SAKAKURA ARCHITECTS & ENGINEERS	SAKAKURA ARCHITECTS & ENGINEERS OSAKA OFFICE
AZUSA SEKKEI ARCHITECTS ENGINEERS & CONSULTANTS	AZUSA SEKKEI
KISHO KUROKAMJA	KISHO KUROKAWA ARCHITECT & ASSOCIATES
KISHO KUROKAWA	KISHO KUROKAWA ARCHITECT & ASSOCIATES
SHIGERU BAN ARCHITECTS TOKYO	SHIGERU BAN ARCHITECTS
KAJIMA CORPORATION ARCHITECTURAL DESIGN DIVISION	KAJIMA CORPORATION
ARATA ISOZAKI & ASSOCIATES, ARCHITECT	ARATA ISOZAKI & ASSOCIATES
PLACEMEDIA LANDSCAPE ARCHITECTS COLLABORATIVE	PLACEMEDIA
DESIGN ORGANIZATION PLACEMEDIA	PLACEMEDIA
FUJITA KOGYO	FUJITA CORPORATION
MHS PLANNERS ARCHITECTS & ENGINEERS	MHS PLANNERS, ARCHITECTS & ENGINEERS
HIROSHI HARA+ATELIER Φ	HIROSHI HARA + ATELIERφ
HIROSHI HARA + ATELIERΦ	HIROSHI HARA + ATELIERφ
JUNAOKI & ASSOCIATES	JUN AOKI & ASSOCIATES
ARCHITECTURAL LABORATORY FOR SYSTEMS, ENVIRONMENT  & DEVELOPMENT	ARCHITECTURAL LABORATORY FOR SYSTEMS ENVIRONMENT DEVELOPMENT
TETSUO FURUICHI & ASSOCIATES	FURUICHI & ASSOCIATES
ARCHITECT 5 PERTNERS	ARCHITECT 5 PARTNERSHIP
TAKAHARU TEZUKA＋YUI TEZUKA／TEZUKA ARCHITECTS	TAKAHARU TEZUKA＋YUI TEZUKA/TEZUKA ARCHITECTS
MORI BUILDING CO,LTD	MORI BUILDING
HIROSHI NAKAMURA & NAP	HIROSHI NAKAMURA&NAP
MITSURU SENNDA+ENVIRONMENNT DESIGN INSTITUTE	MITSURU SENDA + ENVIRONMENT DESIGN INSTITUTE
WORK STATION	WORKSTATION
KENJI NAWA/NAWAKENJIM	KENJI NAWA / NAWAKENJI-M
OBAYASHI CORPORATON	OBAYASHI CORPORATION
AZUSA SEKEI	AZUSA SEKKEI
S UCHII ARCHITECT & ASSOCIATES	S. UCHII ARCHITECT & ASSOCIATES
ISHIMOTO ARCHITECTURAL AND ENGINEERING FIRM,	ISHIMOTO ARCHITECTURAL & ENGINEERING FIRM
ISHIMOTO ARCHITECTURAL & ENGINEERING FIRM,INC	ISHIMOTO ARCHITECTURAL & ENGINEERING FIRM
SAKAKURA ASSOCIATES AND ENGIEERS	SAKAKURA ASSOCIATES ARCHITECTS AND ENGINEERS
SAKAKURA ASSOCIATES, ARCHITECTS & ENGINEERS	SAKAKURA ASSOCIATES ARCHITECTS AND ENGINEERS
LOUIS VUTTON MALLETIER	LOUIS VUITTON MALLETIER
NAP ARCHITECTS, INC.	NAP ARCHITECTS

NTT-URBAN DEVELOPMENT	NTT URBAN DEVELOPMENT
TOKYU CORPORAION	TOKYU CORPORATION
MAEKAWA KUNIO ARCHITECTS & ENGINEERS	KUNIO MAEKAWA ARCHITECTS & ENGINEERS
TEAMZOO ATELIER IRUKA	TEAM ZOO ATELIER IRUKA
TEAM ZOO/ATELIER IRUKA	TEAM ZOO ATELIER IRUKA
TEAM ZOO IRUKA DESIGN GROUP	TEAM ZOO ATELIER IRUKA
SHOICHI HARYU ARCHITECTS & ASSOCIATES	SHOICHI HARYU ARCHITECT & ASSOCIATES
NTT URBAN DEVELOPMENT CO.	NTT URBAN DEVELOPMENT
HIROSHI OHNO / OHNOJAPAN	HIROFUMI OHNO / OHNO JAPAN

K. SONE & ENVIRONMENTAL DESIGN ASSOCIATES	K.SONE&ENVIRONMENTAL DESIGN ASSOCIATES
K.SONE ENVIOROMENTAL DESIGN ASSOCIATES	K.SONE&ENVIRONMENTAL DESIGN ASSOCIATES

SHOICHI HARIU ARCHITECTS & ASSOCIATES	SHOICHI HARYU ARCHITECT & ASSOCIATES
SYOICHI HARIU ARCHITECT & ASSOCIATES	SHOICHI HARYU ARCHITECT & ASSOCIATES
SHOICHI HARYU ARCHITECT & ASSOCIATE	SHOICHI HARYU ARCHITECT & ASSOCIATES
SPATIAL RESEARCH INSTITUTE	SPATIAL DESIGN STUDIO

MASAHIRO IKEDA ARCHITECTURE STUDIO CO LTD	MASAHIRO IKEDA ARCHITECTURE STUDIO

AZUMA ARCHITECT & ASSOCIATES, STUDIO ON SITE	AZUMA ARCHITECT & ASSOCIATES

KAZUHIRO KOJIMA + KAZUKO AKAMATSU/ CA	KAZUHIRO KOJIMA+KAZUKO AKAMATSU / CAT
KAZUHIRO KOJIMA+KAZUKO AKAMATSU/CA	KAZUHIRO KOJIMA+KAZUKO AKAMATSU / CAT
KAZUHIRO KOJIMA + KAZUKO AKAMATSU / CAT	KAZUHIRO KOJIMA+KAZUKO AKAMATSU / CAT
KAZUHIRO KOJIMA + KAZUKO AKAMATSU / CAT	KAZUHIRO KOJIMA+KAZUKO AKAMATSU / CAT
KAZUHIRO KOJIMA+KAZUKO AKAMATSU/CAT	KAZUHIRO KOJIMA+KAZUKO AKAMATSU / CAT

NAWAKENJIM	NAWAKENJI-M
BLUESTUDIO	BLUE STUDIO
TEAM TIMBERLISE	TEAM TIMBERIZE

KISABURO ITO ARCHITECTS	K.ITO ARCHITECTS & ENGINEERS
