name_en,unique_ja_count,name_ja,occurrence_count,source_architect_id,source_line
"ICHIURA HOUSING & PLANNING",2,"市浦ハウジング&プランニング",1,9439,4489
"SOLSO",2,"DAISHIZEN（SOLSO）",1,8917,4166
"SOLSO",2,"SOLSO",1,9986,4797
"NAKA ARCHITECTS' STUDIO",2,"仲俊治・宇野悠里／仲建築設計スタジオ",1,8994,4214
"NAKA ARCHITECTS' STUDIO",2,"仲建築設計スタジオ",1,9981,4793
"A ROUND ARCHITECTS",2,"a round architects",1,9077,4260
"A ROUND ARCHITECTS",2,"Park Changhyun／a round architects",1,10142,4873
"KAZUYA MORITA ARCHITECTURE STUDIO",2,"森田一弥＋小寺磨理子＋木村俊介／森田一弥建築設計事務所",1,9298,4398
"KAZUYA MORITA ARCHITECTURE STUDIO",2,"森田一弥＋木村明稔／森田一弥建築設計事務所",1,9639,4603
"MUSA-BUILD PROJECT",2,"長谷川ゆい＋一色淳之介＋西津尚紀／ MUSA-BUILD プロジェクト",1,9433,4484
"MUSA-BUILD PROJECT",2,"長谷川ゆい＋一色淳之介＋西津尚紀／MUSA-BUILD プロジェクト",1,9438,4488
"OSAMU MORISHITA ARCHITECT AND ASSOCIATES",2,"森下建築総研／Osamu Morishita Architect & Associates",1,9526,4538
"OSAMU MORISHITA ARCHITECT AND ASSOCIATES",2,"森下建築総研",1,10055,4832
"SUNAKI",2,"砂木／木内俊克＋砂山太一＋大須賀嵩幸",1,9604,4581
"SUNAKI",2,"砂木",1,9728,4656
"STUDIO IWASE",2,"岩瀬諒子建築設計事務所／岩瀬諒子+遠藤郁",1,9608,4585
"STUDIO IWASE",2,"岩瀬諒子設計事務所／岩瀬諒子＋遠藤郁",1,10134,4867
"ARCHISHIP STUDIO",2,"飯田善彦＋山下祐平／アーキシップスタジオ",1,9810,4696
"ARCHISHIP STUDIO",2,"アーキシップスタジオ",1,10137,4870
"YAP",2,"YAP",1,10024,4817
"YAP",2,"山口陽登＋福田絢華／YAP一級建築士事務所",1,10120,4861
